,tournament_id,tournament,deadline,status,status_result,color,substitutions
0,52,премьер-лига Англия,02.11,время для замен еще не пришло,0,yellow,
1,31,премьер-лига Россия,02.11,время для замен еще не пришло,0,yellow,
2,57,Лига чемпионов УЕФА,05.11,время для замен еще не пришло,0,yellow,
3,50,бундеслига Германия,01.11,{'status': 'OK'},1,green,"['Гюнтер', 'Шмид', 'Хальстенберг'] => ['Хюбнер', 'Кадержабек', 'Очипка']"
4,49,Ла Лига,02.11,время для замен еще не пришло,0,yellow,
5,48,серия А Италия,02.11,время для замен еще не пришло,0,yellow,
6,51,лига 1 Франция,01.11,{'status': 'OK'},1,green,"['Да Сильва', 'А. Туре', 'Морель'] => ['Дагба', 'Молле', 'Каси']"
7,54,высшая лига Голландия,01.11,{'status': 'OK'},1,green,"['Адриан Дальмау', 'Павлидис', 'Ботман'] => ['Дамашкан', 'Бенсхоп', 'Дрешевич']"
8,205,чемпионшип,01.11,"{'result': 0, 'errors': [{'code': -23, 'description': 'Слишком много трансферов'}]}",-1,red,"['Седдон', 'Бернер', 'Вудро'] => ['де Вейс', 'Холл', 'Уорд']"
9,207,высшая лига Португалия,02.11,время для замен еще не пришло,0,yellow,
10,246,высшая лига Турция,01.11,"{'result': 0, 'errors': [{'code': -23, 'description': 'Слишком много трансферов'}]}",-1,red,"['Тити', 'Гассама', 'Кайоде'] => ['Тиагу Лопеш', 'Абархун', 'Тьям']"
11,56,Лига европы,06.11,время для замен еще не пришло,0,yellow,
