,tournament_id,tournament,deadline,status,status_result,color,substitutions
0,52,премьер-лига Англия,05.12,время для замен еще не пришло,0,yellow,
1,31,премьер-лига Россия,05.12,время для замен еще не пришло,0,yellow,
2,57,Лига чемпионов УЕФА,08.12,время для замен еще не пришло,0,yellow,
3,50,бундеслига Германия,04.12,время для замен еще не пришло,0,yellow,
4,49,Ла Лига,04.12,время для замен еще не пришло,0,yellow,
5,48,серия А Италия,05.12,время для замен еще не пришло,0,yellow,
6,51,лига 1 Франция,04.12,время для замен еще не пришло,0,yellow,
7,205,чемпионшип,04.12,время для замен еще не пришло,0,yellow,
8,207,высшая лига Португалия,05.12,время для замен еще не пришло,0,yellow,
9,246,высшая лига Турция,04.12,время для замен еще не пришло,0,yellow,
10,56,Лига европы,03.12,{'status': 'OK'},1,green,"['Амалла', 'Бэлгрэдян', 'Патрик'] => ['Бэйли', 'Бауманн', 'Пепе']"
